quadrat,transect,site,study,space.logit,prey.rich,urchin.ln,chiton.ln,cons.rich
PG5_93,PG5.,PG,survey,-1.638614599,11,0.287657072,2.995732274,3.666666667
PG6_B,PG6.,PG,survey,-0.429567043,10,-0.628671161,3.135494216,3.333333333
PG6_D,PG6.,PG,survey,-1.060313439,12,-0.628671161,3.295836866,2.666666667
PG6_E,PG6.,PG,survey,0.251966213,16,-0.628671161,4.094344562,4.333333333
PG6_F,PG6.,PG,survey,-1.197130204,9,-0.628671161,3.433987204,2.333333333
SC1_54,SC1.,SC,survey,-2.158883107,15,-0.916374068,1.609437912,1
SC1_62,SC1.,SC,survey,-1.62730586,18,-0.916374068,2.079441542,1
SC1_63,SC1.,SC,survey,-2.047692843,13,-0.916374068,2.995732274,3.333333333
SC1_64,SC1.,SC,survey,-2.517649448,9,-0.916374068,0,1.666666667
SC4_36,SC4.,SC,survey,-4.153287098,17,-2.015153052,0,0.333333333
SC4_45,SC4.,SC,survey,-2.284466499,18,-2.015153052,0,1
SC4_51,SC4.,SC,survey,-1.854690465,16,-2.015153052,0,0.333333333
SC4_52,SC4.,SC,survey,-4.080182248,12,-2.015153052,0,0.333333333
SC5_34,SC5.,SC,survey,-2.572354056,21,-2.015153052,0,1
SC5_47,SC5.,SC,survey,-2.135285278,18,-2.015153052,0,0.666666667
SC5_49,SC5.,SC,survey,-2.940656089,18,-2.015153052,0,1
SC5_50z,SC5.,SC,survey,-3.489106117,20,-2.015153052,2.079441542,1.333333333
SC6_14,SC6.,SC,survey,-0.044490931,9,-0.762211484,2.079441542,2.333333333
SC6_18,SC6.,SC,survey,-1.979979235,10,-0.762211484,0,2
SC6_21,SC6.,SC,survey,-0.225470938,13,-0.762211484,1.609437912,2
SC6_33,SC6.,SC,survey,-2.341879673,13,-0.762211484,0,0.666666667
SC7_2,SC7.,SC,survey,-2.288558609,13,-2.015153052,0,1
SC7_3,SC7.,SC,survey,-0.909654588,12,-2.015153052,0,0.666666667
SC7_4,SC7.,SC,survey,-1.140705047,17,-2.015153052,1.609437912,1
SC7_5,SC7.,SC,survey,-2.166509407,13,-2.015153052,0,0
SC8_37,SC8.,SC,survey,-3.877282847,9,-2.015153052,0,0.666666667
SC8_38,SC8.,SC,survey,-1.437078054,21,-2.015153052,0,0.666666667
SC8_39,SC8.,SC,survey,-3.499029631,10,-2.015153052,0,0.333333333
SC8_40,SC8.,SC,survey,-2.75507514,18,-2.015153052,0,0
P1010255_IJ,ON,ONA,expt,-1.044103575,16,-0.762140052,2.406945108,0
P1010256_IJ,ON,ONA,expt,-0.717247127,12,-0.762140052,2.406945108,2
P1010258_IJ,ON,ONA,expt,-1.388394288,7,-0.762140052,2.406945108,2
P1010259_IJ,ON,ONA,expt,-0.841904466,9,-0.762140052,2.406945108,0
P1010260_IJ,ON,ONA,expt,-1.019104273,11,-0.762140052,2.406945108,3
P1010263_IJ,ON,ONA,expt,-0.708705895,14,-0.762140052,2.406945108,3
P1010246_IJ,ON,ONB,expt,-0.210351724,11,0.287682072,3.100092289,2
P1010247_IJ,ON,ONB,expt,-0.594367483,10,0.287682072,3.505557397,3
P1010248_IJ,ON,ONB,expt,-0.538943197,9,0.287682072,3.100092289,3
P1010249_IJ,ON,ONB,expt,-0.319788428,10,0.287682072,3.505557397,3
P1010250_IJ,ON,ONB,expt,-0.803302221,13,0.287682072,2.406945108,3
P1010252_IJ,ON,ONB,expt,-0.524882983,12,0.287682072,2.406945108,2
P1010191_IJ,ON,ONC,expt,-0.662457041,11,-0.405465108,2.406945108,2
P1010192_IJ,ON,ONC,expt,-0.085300927,9,-0.405465108,3.100092289,2
P1010194_IJ,ON,ONC,expt,-0.724377659,18,-0.405465108,2.406945108,2
P1010195_IJ,ON,ONC,expt,-0.489258083,10,-0.405465108,3.100092289,4
P1010197_IJ,ON,ONC,expt,-0.250978008,11,-0.405465108,3.100092289,1
P1010198_IJ,ON,ONC,expt,-0.414001837,12,-0.405465108,3.793239469,5
P1010240_IJ,ON,ON0,expt,-1.479552054,11,-1.32175584,2.406945108,2
P1010242_IJ,ON,ON0,expt,-1.97379757,11,-1.32175584,2.406945108,0
ON0_45_090924_IJ,ON,ON0,expt,-1.919695252,13,-1.32175584,2.406945108,2
ON0_46_090924_IJ,ON,ON0,expt,-2.492960376,10,-1.32175584,2.406945108,0
ON0_47_090924_IJ,ON,ON0,expt,-1.688924601,7,-1.32175584,2.406945108,0
ON0_49_090924_IJ,ON,ON0,expt,-1.45059048,11,-1.32175584,2.406945108,1
P1010225_IJ,ON,ON2,expt,-1.78734689,13,0.09531018,2.406945108,1
P1010226_IJ,ON,ON2,expt,-0.270024358,5,0.09531018,2.406945108,0
P1010227_IJ,ON,ON2,expt,0.362248285,12,0.09531018,3.505557397,5
ON2_43_090924_IJ,ON,ON2,expt,-0.322164447,9,0.09531018,2.406945108,0
ON2_44_090924_IJ,ON,ON2,expt,0.12427648,14,0.09531018,3.100092289,2
ON2_81_090924_IJ,ON,ON2,expt,-0.303632428,8,0.09531018,2.406945108,0
P1010208_IJ,ON,ON4,expt,-1.160461464,17,-0.762140052,2.406945108,3
P1010210_IJ,ON,ON4,expt,-0.686496862,19,-0.762140052,2.406945108,2
ON4_71_090924_IJ,ON,ON4,expt,-1.468747318,18,-0.762140052,2.406945108,2
ON4_72_090924_IJ,ON,ON4,expt,-1.334835791,17,-0.762140052,2.406945108,0
ON4_73_090924_IJ,ON,ON4,expt,-1.150100652,17,-0.762140052,2.406945108,2
ON4_74_090924_IJ,ON,ON4,expt,-1.49978384,16,-0.762140052,2.406945108,1
P1010094_IJ,PG,PGA,expt,-0.447595337,14,1.029619417,3.100092289,5
P1010097_IJ,PG,PGA,expt,0.698420262,11,1.029619417,3.100092289,4
P1010098_IJ,PG,PGA,expt,1.361885799,14,1.029619417,4.016383021,6
P1010099_IJ,PG,PGA,expt,0.05072081,16,1.029619417,3.100092289,4
P1010101_IJ,PG,PGA,expt,-1.332508632,16,1.029619417,3.100092289,4
P1010102_IJ,PG,PGA,expt,-1.860249211,15,1.029619417,2.406945108,1
P1010104_IJ,PG,PGB,expt,-0.226964899,14,0.382992252,3.793239469,5
P1010106_IJ,PG,PGB,expt,-0.333713644,15,0.382992252,3.100092289,5
P1010108_IJ,PG,PGB,expt,0.182314578,12,0.382992252,3.505557397,5
P1010110_IJ,PG,PGB,expt,0.232886759,14,0.382992252,3.793239469,7
P1010111_IJ,PG,PGB,expt,0.12675535,17,0.382992252,4.198704578,4
P1010112_IJ,PG,PGB,expt,0.923007083,10,0.382992252,4.016383021,3
P1010179_IJ,PG,PGC,expt,0.441000403,11,1.109662125,4.48638665,4
P1010181_IJ,PG,PGC,expt,0.952926849,7,1.109662125,4.198704578,5
P1010182_IJ,PG,PGC,expt,1.517170111,5,1.109662125,4.709530201,8
P1010184_IJ,PG,PGC,expt,1.140718158,6,1.109662125,4.804840381,7
P1010185_IJ,PG,PGC,expt,0.993505054,6,1.109662125,4.604169686,8
P1010186_IJ,PG,PGC,expt,0.563042706,9,1.109662125,4.804840381,8
P1010117_IJ,PG,PG1,expt,-1.792592456,19,-0.916290732,3.505557397,4
P1010119_IJ,PG,PG1,expt,-0.286063116,17,-0.916290732,3.793239469,3
P1010120_IJ,PG,PG1,expt,-2.246495626,19,-0.916290732,3.505557397,6
P1010121_IJ,PG,PG1,expt,-1.296498576,17,-0.916290732,3.100092289,6
PG1_7_090923_IJ,PG,PG1,expt,-1.80040497,23,-0.916290732,3.100092289,6
PG1_97_090923_IJ,PG,PG1,expt,-2.044663129,19,-0.916290732,2.406945108,7
P1010134_IJ,PG,PG3,expt,-0.127112537,17,-0.916290732,3.793239469,5
P1010135_IJ,PG,PG3,expt,-0.91225153,17,-0.916290732,4.016383021,5
P1010136_IJ,PG,PG3,expt,-0.690240349,19,-0.916290732,3.100092289,5
P1010137_IJ,PG,PG3,expt,-1.638736545,18,-0.916290732,2.406945108,3
PG3_95_090923_IJ,PG,PG3,expt,-1.402779182,21,-0.916290732,3.793239469,3
PG3_15_090923_IJ,PG,PG3,expt,-1.567774491,15,-0.916290732,3.100092289,5
P1010176_IJ,PG,PG6,expt,-2.193071792,16,-0.033901552,3.793239469,6
P1010177_IJ,PG,PG6,expt,-0.953086784,17,-0.033901552,3.793239469,7
PG6_B_090923_IJ,PG,PG6,expt,-0.40708261,15,-0.033901552,3.100092289,6
PG6_C_090923_IJ,PG,PG6,expt,-1.2515809,13,-0.033901552,3.100092289,4
PG6_D_090923_IJ,PG,PG6,expt,-1.010643929,15,-0.033901552,3.505557397,5
PG6_E_090923_IJ,PG,PG6,expt,-0.764136663,12,-0.033901552,3.100092289,4
P1010004_crop,SC,SCA,expt,-1.476270632,27,1.511457504,2.406945108,3
P1010005_crop,SC,SCA,expt,-1.668891538,28,1.511457504,2.406945108,2
P1010006_crop,SC,SCA,expt,0.002016536,16,1.511457504,2.406945108,5
P1010008_IJ,SC,SCA,expt,0.646312105,13,1.511457504,2.406945108,2
P1010009_IJ,SC,SCA,expt,-0.56217497,14,1.511457504,2.406945108,3
P1010010_IJ,SC,SCA,expt,0.359991852,16,1.511457504,3.100092289,6
P1010021_IJ,SC,SCB,expt,-0.832611282,18,1.343734747,3.100092289,6
P1010023_IJ,SC,SCB,expt,-0.313959342,18,1.343734747,2.406945108,5
P1010024_IJ,SC,SCB,expt,0.638953904,11,1.343734747,4.198704578,5
P1010025_IJ,SC,SCB,expt,0.569533225,14,1.343734747,4.016383021,5
P1010026_IJ,SC,SCB,expt,0.624950862,17,1.343734747,3.100092289,2
P1010027_IJ,SC,SCB,expt,0.589345815,16,1.343734747,3.505557397,8
P1010084_IJ,SC,SCC,expt,0.027912846,18,1.410986974,3.100092289,4
P1010086_IJ,SC,SCC,expt,-0.141763002,15,1.410986974,3.505557397,5
P1010087_IJ,SC,SCC,expt,-0.075295762,18,1.410986974,3.100092289,5
P1010088_IJ,SC,SCC,expt,1.331606779,12,1.410986974,3.100092289,7
P1010089_IJ,SC,SCC,expt,-0.920924787,21,1.410986974,2.406945108,4
P1010091_IJ,SC,SCC,expt,-0.744163343,21,1.410986974,3.505557397,5
P1010073_IJ,SC,SC4,expt,-1.579603315,22,-1.609437912,2.406945108,0
P1010074_IJ,SC,SC4,expt,-3.081400156,14,-1.609437912,2.406945108,1
P1010075_IJ,SC,SC4,expt,-2.485687595,16,-1.609437912,2.406945108,1
SC4_35_090922_IJ,SC,SC4,expt,-2.178942532,18,-1.609437912,2.406945108,0
SC4_51_090922_IJ,SC,SC4,expt,-2.33698652,16,-1.609437912,2.406945108,2
SC4_52_090922_IJ,SC,SC4,expt,-3.383421271,23,-1.609437912,2.406945108,0
P1010063_IJ,SC,SC5,expt,-2.422735694,21,-1.609437912,2.406945108,0
P1010064_IJ,SC,SC5,expt,-2.577507535,19,-1.609437912,2.406945108,0
P1010066_IJ,SC,SC5,expt,-2.430043394,22,-1.609437912,2.406945108,0
SC5_34_090922_IJ,SC,SC5,expt,-1.452784102,22,-1.609437912,2.406945108,2
SC5_47_090922_IJ,SC,SC5,expt,-1.514813212,20,-1.609437912,2.406945108,1
SC5_49_090922_IJ,SC,SC5,expt,-2.398747183,14,-1.609437912,2.406945108,1
P1010040_IJ,SC,SC7,expt,-1.805248331,14,-1.609437912,2.406945108,4
P1010041_IJ,SC,SC7,expt,-0.809919605,15,-1.609437912,3.100092289,2
P1010042_IJ,SC,SC7,expt,-1.312608439,16,-1.609437912,2.406945108,2
SC7_2_090922_IJ,SC,SC7,expt,-1.976805486,14,-1.609437912,2.406945108,1
SC7_3_090922_IJ,SC,SC7,expt,-1.476547568,15,-1.609437912,2.406945108,1
SC7_5_090922_IJ,SC,SC7,expt,-1.033417815,14,-1.609437912,2.406945108,3
